customer_id,customer_firstname,customer_lastname,phone_number,email_address,gender,dob,city,pincode,main_address,delivery_address,meal_preference,signup_date,acquisition_channel
1,Aachal,Modi,9230307805,aachal1@gmail.com,Female,1988-07-12,Muzaffarnagar,251003,"77, Vaidya Ganj, Gulbarga-489513","200, Soman Ganj, Sirsa 936763",Non-Veg,2026-06-25,WhatsApp
2,Falak,Ahluwalia,9816806128,falak2@gmail.com,Female,2005-06-28,Muzaffarnagar,251003,"287, Krish Nagar, Sirsa 788957","774, Malhotra Ganj, Mathura-714345",Veg,2026-06-13,WhatsApp
3,Nathaniel,Zachariah,9440696084,nathaniel3@gmail.com,Male,1982-10-02,Meerut,250001,"23, Sachdeva Zila, Bathinda-603669","05, Ramakrishnan Road, Siwan 734670",Non-Veg,2026-05-05,Organic Search
4,Saumya,Nayar,9757830420,saumya4@gmail.com,Female,1999-03-23,Meerut,250002,"29, Bala Circle, Guntakal-162720","H.No. 37, Nazareth Path, Alwar 417080",Veg,2026-03-29,Gym Referral
5,Pushti,Kapur,9558209399,pushti5@gmail.com,Female,1998-09-13,Meerut,250004,"309, Khare Street, Bhalswa Jahangir Pur 937452","H.No. 19, Muni Nagar, Sikar 193149",Veg,2026-02-21,Gym Referral
6,Darpan,Barman,9270894498,darpan6@gmail.com,Male,1990-03-20,Saharanpur,247232,"H.No. 850, Suri Marg, Bhiwani-726284","94, Korpal Path, Alwar-379965",Veg,2026-06-26,Gym Referral
7,Akshay,Talwar,9378304807,akshay7@gmail.com,Male,2004-04-27,Saharanpur,247001,"545, Majumdar Road, Hazaribagh-136783","01, Kant Road, Latur-957885",Veg,2026-05-03,Gym Referral
8,Unnati,Narayanan,9397760792,unnati8@gmail.com,Female,1990-05-06,Haridwar,249401,"H.No. 43, Hans Zila, Jamshedpur-337498","435, Mittal Street, Deoghar 400842",Veg,2026-05-02,Gym Referral
9,Yatan,Chauhan,9772966010,yatan9@gmail.com,Male,2004-12-06,Saharanpur,247232,"75, Behl Street, Morena 167190","41/31, Saha Circle, Nagaon-774964",Veg,2026-05-05,Instagram
10,Ayushman,Chaudhary,9866162966,ayushman10@gmail.com,Male,2007-01-11,Saharanpur,247001,"H.No. 12, Ghose Ganj, Sangli-Miraj & Kupwad-679740","47/134, Hora, Raipur-242102",Non-Veg,2026-02-06,Instagram
11,Mitesh,Mani,9443285529,mitesh11@gmail.com,Male,1992-10-16,Saharanpur,247002,"64/887, Buch Chowk, Bhiwani-940139","02/78, Mall Chowk, Bhimavaram 717565",Veg,2026-03-06,Gym Referral
12,Oeshi,Cheema,9261953189,oeshi12@gmail.com,Female,2004-07-06,Saharanpur,247002,"74/680, Chakrabarti Chowk, Nizamabad 168087","859, Sathe Chowk, Kurnool-824771",Veg,2026-03-12,Instagram
13,Amrita,Khatri,9858511779,amrita13@gmail.com,Female,2000-05-14,Haridwar,249401,"61/31, Dalal Chowk, Panchkula 846773","39, Deshpande Circle, Bally-584044",Non-Veg,2026-06-15,Instagram
14,Wishi,Dixit,9455281184,wishi14@gmail.com,Female,1992-12-30,Saharanpur,247002,"H.No. 88, Shah Marg, Maheshtala-963605","27, Date Nagar, Salem-187026",Non-Veg,2026-03-24,WhatsApp
15,Faras,Borde,9322086735,faras15@gmail.com,Male,1993-08-22,Saharanpur,247232,"61/58, Nadig Marg, Hosur 913431","17/240, Nair Nagar, Durg-562386",Non-Veg,2026-03-26,Gym Referral
16,Hemangini,Garde,9926561919,hemangini16@gmail.com,Female,1985-05-25,Saharanpur,247001,"92, Shenoy Ganj, Jaunpur-074821","46/47, Issac Road, Karawal Nagar-369594",Non-Veg,2026-06-06,WhatsApp
17,Manbir,Bains,9922050912,manbir17@gmail.com,Male,2007-11-17,Muzaffarnagar,251003,"H.No. 909, Mangat Chowk, Medininagar-339421","09, Deep Path, Sagar 623285",Veg,2026-03-04,WhatsApp
18,Zashil,Mahajan,9477698143,zashil18@gmail.com,Male,2003-10-01,Saharanpur,247001,"H.No. 51, Borra Chowk, Kamarhati 851604","H.No. 49, Prabhu Marg, Muzaffarpur 098593",Veg,2026-04-02,Instagram
